"","id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1","17260587","110413588","Julia","Pankow","Blankenfelde/Niederschonhausen","5.258.330.601.280.290","13.396.091.555.822.500","Private room",30,2,108,"03/05/17",2,3,44
"2","17227881","116030782","Jessica","Pankow","Blankenfelde/Niederschonhausen","5.257.641.672.545.430","13.398.581.791.685.800","Private room",17,1,160,"22/03/17",1.29,1,36
"3","1153584","4813229","Ulrike","Pankow","Blankenfelde/Niederschonhausen","5.258.921.822.417.370","13.399.260.586.072.900","Private room",50,2,199,"16/04/17",1.27,1,124
"4","7832750","36417780","Lisa","Pankow","Blankenfelde/Niederschonhausen","5.258.231.232.676.320","13.395.584.373.495.400","Private room",28,2,17,"25/04/17",5.43,1,7
"5","11634962","12101514","Elektra","Pankow","Blankenfelde/Niederschonhausen","52.583.748.670.555.500","13.393.662.207.478.300","Private room",21,1,81,"05/05/17",1.45,1,64
"6","13035058","21797784","Jennifer","Pankow","Blankenfelde/Niederschonhausen","525.796.727.289.495","13.399.316.502.368.800","Private room",38,2,100,"26/12/16",1.71,1,185
"7","16601732","66145126","Lisa","Pankow","Blankenfelde/Niederschonhausen","5.258.761.199.611.120","13.400.317.282.519.000","Private room",40,1,2,"",NA,1,88
"8","13413450","76401748","Chrissy","Pankow","Blankenfelde/Niederschonhausen","5.259.673.257.787.230","13.403.349.977.144.300","Private room",25,14,2,"",NA,1,0
"9","866332","4551377","Sabine","Pankow","Blankenfelde/Niederschonhausen","52.587.891.832.640.300","13.394.384.211.348.600","Private room",37,4,181,"08/10/15",0.09,1,88
"10","9258549","48098445","Johanna","Pankow","Blankenfelde/Niederschonhausen","5.257.896.886.871.920","13.399.527.477.929.200","Private room",30,1,2,"",NA,1,0
"11","7486709","39208160","Christian","Pankow","Blankenfelde/Niederschonhausen","5.258.887.627.384.360","13.395.326.991.323.600","Private room",20,3,160,"17/10/15",0.15,1,0
"12","17275227","110413588","Julia","Pankow","Blankenfelde/Niederschonhausen","5.258.382.270.828.260","13.396.386.107.076.000","Private room",35,2,3,"01/05/17",1,3,48
"13","7642371","40100342","Gareo","Pankow","Blankenfelde/Niederschonhausen","5.257.743.039.390.140","13.400.585.006.823.400","Private room",30,1,160,"16/09/16",0.25,1,341
"14","13249228","72905027","Annika","Pankow","Blankenfelde/Niederschonhausen","5.259.277.823.544.080","13.409.397.929.224.800","Private room",27,5,108,"31/01/17",0.19,2,20
"15","14362551","72905027","Annika","Pankow","Blankenfelde/Niederschonhausen","52.591.485.641.120.600","13.410.317.437.547.100","Private room",20,5,3,"12/10/16",0.14,2,327
"16","15218622","17957907","Totinia","Pankow","Blankenfelde/Niederschonhausen","5.257.468.988.387.130","1.339.881.744.002.090","Private room",36,1,160,"01/04/17",0.41,1,90
"17","16682014","110413588","Julia","Pankow","Blankenfelde/Niederschonhausen","5.258.288.807.164.500","13.396.138.917.629.500","Entire home/apt",56,3,2,"",NA,3,134
"18","15767215","39537907","Andre","Pankow","Blankenfelde/Niederschonhausen","5.258.751.828.476.060","13.401.295.270.703.900","Entire home/apt",45,3,160,"12/03/17",0.59,1,263
"19","115576","584750","Axel","Pankow","Blankenfelde/Niederschonhausen","5.258.150.268.997.830","133.978.581.755.756","Entire home/apt",69,2,108,"05/08/14",0.04,1,264
"20","7568544","39056052","Claudia","Pankow","Blankenfelde/Niederschonhausen","5.257.958.124.947.870","13.402.655.654.804.100","Entire home/apt",80,2,37,"17/04/17",0.63,1,30
"21","7777135","40917101","Katja","Pankow","Blankenfelde/Niederschonhausen","5.258.304.544.316.490","13.396.750.502.689.000","Entire home/apt",75,1,2,"",NA,1,0
"22","279222","1456393","Johanna","Pankow","Blankenfelde/Niederschonhausen","525.771.050.390.231","13.400.070.344.747.400","Entire home/apt",49,18,3,"10/06/14",0.03,1,0
"23","6393652","33337642","Ulrike","Pankow","Blankenfelde/Niederschonhausen","52.588.018.686.577.700","13.401.748.867.023.200","Entire home/apt",70,5,2,"",NA,1,0
"24","7457629","39058000","Simon","Pankow","Blankenfelde/Niederschonhausen","5.257.992.474.310.040","13.401.222.441.121.400","Entire home/apt",120,5,2,"",NA,1,0
"25","16926322","25707959","Anja","Pankow","Blankenfelde/Niederschonhausen","5.258.231.432.292.230","13.407.387.700.977.400","Entire home/apt",39,4,108,"25/03/17",0.95,2,30
"26","18473884","15724317","Oliver","Pankow","Blankenfelde/Niederschonhausen","5.259.440.464.046.750","13.393.063.117.724.100","Entire home/apt",68,10,2,"",NA,1,61
"27","10402942","53565483","Burghardt","Pankow","Blankenfelde/Niederschonhausen","525.748.678.891.062","13.398.947.272.894.500","Entire home/apt",120,2,3,"13/09/16",0.13,1,361
"28","17564568","28668022","Johanna","Pankow","Blankenfelde/Niederschonhausen","52.587.738.238.046.200","13.401.056.813.961.700","Private room",40,1,2,"",NA,1,274
"29","10027737","50795723","Victoria","Pankow","Blankenfelde/Niederschonhausen","5.257.606.535.768.670","13.399.548.481.551.900","Entire home/apt",140,1,2,"",NA,1,361
