"","id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",17260587,110413588,"Julia","Pankow","Blankenfelde/Niederschönhausen",52.583306012803,13.3960915558226,"Private room",30,2,2,2017-05-03,2,3,44
"2",17227881,116030782,"Jessica","Pankow","Blankenfelde/Niederschönhausen",52.5764167254543,13.3985817916858,"Private room",17,1,3,2017-03-22,1.29,1,36
"3",1153584,4813229,"Ulrike","Pankow","Blankenfelde/Niederschönhausen",52.5892182241737,13.3992605860729,"Private room",50,2,56,2017-04-16,1.27,1,124
"4",7832750,36417780,"Lisa","Pankow","Blankenfelde/Niederschönhausen",52.5823123267632,13.3955843734955,"Private room",28,2,111,2017-04-25,5.43,1,7
"5",11634962,12101514,"Elektra","Pankow","Blankenfelde/Niederschönhausen",52.5837486705555,13.3936622074783,"Private room",21,1,17,2017-05-05,1.45,1,64
"6",13035058,21797784,"Jennifer","Pankow","Blankenfelde/Niederschönhausen",52.5796727289495,13.3993165023688,"Private room",38,2,19,2016-12-26,1.71,1,185
"7",16601732,66145126,"Lisa","Pankow","Blankenfelde/Niederschönhausen",52.5876119961113,13.400317282519,"Private room",40,1,0,NA,NA,1,88
"8",13413450,76401748,"Chrissy","Pankow","Blankenfelde/Niederschönhausen",52.5967325778723,13.4033499771444,"Private room",25,14,0,NA,NA,1,0
"9",866332,4551377,"Sabine","Pankow","Blankenfelde/Niederschönhausen",52.5878918326404,13.3943842113487,"Private room",37,4,4,2015-10-08,0.09,1,88
"10",9258549,48098445,"Johanna","Pankow","Blankenfelde/Niederschönhausen",52.5789688687192,13.3995274779293,"Private room",30,1,0,NA,NA,1,0
"11",7486709,39208160,"Christian","Pankow","Blankenfelde/Niederschönhausen",52.5888762738437,13.3953269913236,"Private room",20,3,3,2015-10-17,0.15,1,0
"12",17275227,110413588,"Julia","Pankow","Blankenfelde/Niederschönhausen",52.5838227082826,13.396386107076,"Private room",35,2,1,2017-05-01,1,3,48
"13",7642371,40100342,"Gareo","Pankow","Blankenfelde/Niederschönhausen",52.5774303939015,13.4005850068234,"Private room",30,1,3,2016-09-16,0.25,1,341
"14",13249228,72905027,"Annika","Pankow","Blankenfelde/Niederschönhausen",52.5927782354408,13.4093979292248,"Private room",27,5,2,2017-01-31,0.19,2,20
"15",14362551,72905027,"Annika","Pankow","Blankenfelde/Niederschönhausen",52.5914856411207,13.4103174375472,"Private room",20,5,1,2016-10-12,0.14,2,327
"16",15218622,17957907,"Totinia","Pankow","Blankenfelde/Niederschönhausen",52.5746898838713,13.3988174400209,"Private room",36,1,3,2017-04-01,0.41,1,90
"17",16682014,110413588,"Julia","Pankow","Blankenfelde/Niederschönhausen",52.582888071645,13.3961389176296,"Entire home/apt",56,3,0,NA,NA,3,134
"18",15767215,39537907,"Andre","Pankow","Blankenfelde/Niederschönhausen",52.5875182847606,13.4012952707039,"Entire home/apt",45,3,3,2017-03-12,0.59,1,263
"19",115576,584750,"Axel","Pankow","Blankenfelde/Niederschönhausen",52.5815026899783,13.3978581755756,"Entire home/apt",69,2,2,2014-08-05,0.04,1,264
"20",7568544,39056052,"Claudia","Pankow","Blankenfelde/Niederschönhausen",52.5795812494787,13.4026556548042,"Entire home/apt",80,2,13,2017-04-17,0.63,1,30
"21",7777135,40917101,"Katja","Pankow","Blankenfelde/Niederschönhausen",52.583045443165,13.396750502689,"Entire home/apt",75,1,0,NA,NA,1,0
"22",279222,1456393,"Johanna","Pankow","Blankenfelde/Niederschönhausen",52.5771050390231,13.4000703447475,"Entire home/apt",49,18,1,2014-06-10,0.03,1,0
"23",6393652,33337642,"Ulrike","Pankow","Blankenfelde/Niederschönhausen",52.5880186865777,13.4017488670233,"Entire home/apt",70,5,0,NA,NA,1,0
"24",7457629,39058000,"Simon","Pankow","Blankenfelde/Niederschönhausen",52.5799247431005,13.4012224411215,"Entire home/apt",120,5,0,NA,NA,1,0
"25",16926322,25707959,"Anja","Pankow","Blankenfelde/Niederschönhausen",52.5823143229224,13.4073877009775,"Entire home/apt",39,4,2,2017-03-25,0.95,2,30
"26",18473884,15724317,"Oliver","Pankow","Blankenfelde/Niederschönhausen",52.5944046404676,13.3930631177241,"Entire home/apt",68,10,0,NA,NA,1,61
