"","Overall"
"n","20576"
"neighbourhood_group (%)",""
"   Charlottenburg-Wilm.","1346 (6.5)"
"   Friedrichshain-Kreuzberg","5082 (24.7)"
"   Lichtenberg","568 (2.8)"
"   Marzahn - Hellersdorf","82 (0.4)"
"   Mitte","4106 (20.0)"
"   Neukoelln","3461 (16.8)"
"   Pankow","3363 (16.3)"
"   Reinickendorf","223 (1.1)"
"   Spandau","102 (0.5)"
"   Steglitz - Zehlendorf","375 (1.8)"
"   Tempelhof - Schoeneberg","1343 (6.5)"
"   Treptow - Koepenick","525 (2.6)"
"room_type (%)",""
"   Entire home/apt","10285 (50.0)"
"   Private room","10011 (48.7)"
"   Shared room","280 (1.4)"
"price (mean (sd))","58.28 (88.30)"
"minimum_nights (mean (sd))","4.45 (10.83)"
"number_of_reviews (mean (sd))","12.91 (26.75)"
"reviews_per_month (mean (sd))","1.07 (1.30)"
"calculated_host_listings_count (mean (sd))","1.70 (2.84)"
"availability_365 (mean (sd))","104.71 (128.08)"
